규모,전국 Total,,,,서울 Seoul,,,,강북(14개구) Northern seoul,,,,강남(11개구) Southern Seoul,,,,6개광역시 6 Large Cities,,,,부산   Pusan,,,,대구  Daegu,,,,인천  Incheon,,,,광주  Gwangju,,,,대전  Daejeon,,,,울산  Ulsan,,,,5개광역시 5 Large Cities,,,,수도권 Seoul Metropolitan Area,,,,세종  Sejong,,,,경기  Gyeonggi,,,,강원  Gangwon,,,,충북  Chungbuk,,,,충남  Chungnam,,,,전북  Jeonbuk,,,,전남  Jeonnam,,,,경북  Gyungbuk,,,,경남  Gyungnam,,,,기타지방 Non Metropolitan Area,,,
,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,,,종합,아파트,단독,연립,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,단독,연립
2,"26,284","26,883","30,065","15,308","48,703","53,638","63,667","24,087","39,753","40,883","56,162","21,346","57,535","64,114","75,892","26,992","17,061","18,326","18,297","8,431","17,908","20,725",,,"15,892","16,432",,,"18,374","20,554",,,"12,369","12,801",,,"18,958","19,427",,,"17,630","17,179",,, - , - , - , - ,"35,960","36,930","52,190","17,832", - , - ,,,"28,722","28,461","43,623","13,430","12,996","11,727",,,"13,252","13,698",,,"14,062","13,596",,,"12,596","13,863",,,"10,995","10,725",,,"10,626","11,296",,,"18,805","18,375",,,"13,873","14,161","14,056","6,846"
3,"26,277","26,852","30,138","15,309","48,610","53,456","63,736","24,092","39,716","40,803","56,186","21,346","57,387","63,848","76,033","27,004","17,098","18,370","18,322","8,441","17,931","20,730",,,"15,986","16,553",,,"18,304","20,469",,,"12,431","12,886",,,"18,946","19,409",,,"17,871","17,484",,, - , - , - , - ,"35,875","36,803","52,214","17,821", - , - ,,,"28,641","28,367","43,612","13,410","13,054","11,798",,,"13,314","13,775",,,"14,137","13,704",,,"12,950","13,959",,,"11,033","10,778",,,"10,696","11,399",,,"18,826","18,379",,,"13,972","14,226","14,226","6,861"
4,"26,227","26,780","30,145","15,301","48,406","53,112","63,747","24,074","39,646","40,682","56,181","21,328","57,050","63,320","76,071","26,984","17,138","18,409","18,392","8,446","18,002","20,767",,,"16,069","16,654",,,"18,222","20,352",,,"12,487","12,961",,,"18,925","19,379",,,"18,079","17,765",,, - , - , - , - ,"35,720","36,593","52,149","17,802", - , - ,,,"28,512","28,233","43,443","13,393","13,144","11,905",,,"13,370","13,845",,,"14,238","13,883",,,"12,986","14,004",,,"11,076","10,854",,,"10,806","11,561",,,"18,862","18,373",,,"14,035","14,302","14,252","6,883"
5,"26,215","26,762","30,168","15,292","48,303","52,930","63,787","24,054","39,592","40,584","56,205","21,298","56,898","63,070","76,136","26,976","17,175","18,450","18,432","8,459","18,029","20,782",,,"16,135","16,721",,,"18,165","20,268",,,"12,558","13,056",,,"18,914","19,352",,,"18,332","18,113",,, - , - , - , - ,"35,636","36,469","52,166","17,779", - , - ,,,"28,438","28,143","43,438","13,361","13,219","12,112",,,"13,424","13,917",,,"14,274","13,969",,,"13,003","14,027",,,"11,286","11,253",,,"10,962","11,790",,,"18,866","18,357",,,"14,110","14,425","14,260","6,912"
6,"26,168","26,697","30,164","15,277","48,172","52,729","63,753","24,027","39,522","40,489","56,156","21,263","56,708","62,780","76,129","26,957","17,175","18,442","18,458","8,454","18,017","20,742",,,"16,185","16,756",,,"18,100","20,196",,,"12,593","13,103",,,"18,885","19,311",,,"18,408","18,207",,, - , - , - , - ,"35,534","36,333","52,129","17,751", - , - ,,,"28,354","28,040","43,406","13,340","13,248","12,126",,,"13,443","13,953",,,"14,315","14,053",,,"13,055","14,097",,,"11,285","11,251",,,"11,016","11,864",,,"18,806","18,282",,,"14,123","14,443","14,256","6,938"
7,"26,092","26,594","30,161","15,231","47,937","52,388","63,701","23,915","39,381","40,271","56,121","21,192","56,380","62,339","76,048","26,801","17,171","18,429","18,478","8,459","18,000","20,696",,,"16,243","16,814",,,"18,037","20,113",,,"12,630","13,147",,,"18,827","19,240",,,"18,471","18,286",,, - , - , - , - ,"35,380","36,127","52,111","17,680", - , - ,,,"28,251","27,903","43,435","13,304","13,265","12,142",,,"13,495","14,031",,,"14,365","14,157",,,"13,038","14,076",,,"11,260","11,230",,,"11,067","11,939",,,"18,776","18,224",,,"14,133","14,456","14,246","6,962"
8,"26,019","26,489","30,153","15,222","47,727","52,034","63,682","23,914","39,288","40,106","56,101","21,186","56,054","61,831","76,029","26,806","17,165","18,419","18,483","8,452","17,985","20,665",,,"16,291","16,872",,,"17,989","20,057",,,"12,625","13,143",,,"18,793","19,196",,,"18,508","18,332",,, - , - , - , - ,"35,240","35,925","52,091","17,667", - , - ,,,"28,152","27,778","43,421","13,281","13,256","12,128",,,"13,530","14,069",,,"14,381","14,214",,,"13,023","14,054",,,"11,262","11,230",,,"11,101","11,988",,,"18,736","18,162",,,"14,132","14,454","14,236","6,963"
9,"25,922","26,352","30,149","15,197","47,456","51,599","63,657","23,866","39,157","39,898","56,079","21,122","55,645","61,209","75,999","26,774","17,153","18,397","18,498","8,443","17,959","20,615",,,"16,349","16,950",,,"17,904","19,937",,,"12,638","13,161",,,"18,754","19,138",,,"18,564","18,386",,, - , - , - , - ,"35,052","35,659","52,068","17,629", - , - ,,,"28,015","27,602","43,401","13,256","13,234","12,101",,,"13,572","14,121",,,"14,423","14,298",,,"13,008","14,027",,,"11,249","11,209",,,"11,148","12,054",,,"18,702","18,103",,,"14,137","14,455","14,232","6,978"
10,"25,841","26,231","30,160","15,185","47,259","51,258","63,705","23,840","39,011","39,633","56,097","21,087","55,398","60,805","76,096","26,759","17,150","18,383","18,527","8,446","17,934","20,556",,,"16,446","17,065",,,"17,805","19,803",,,"12,665","13,196",,,"18,754","19,126",,,"18,600","18,407",,, - , - , - , - ,"34,886","35,415","52,069","17,609", - , - ,,,"27,860","27,405","43,363","13,244","13,222","12,084",,,"13,622","14,173",,,"14,466","14,385",,,"12,970","13,972",,,"11,220","11,183",,,"11,214","12,145",,,"18,670","18,055",,,"14,140","14,460","14,226","6,970"
11,"25,786","26,147","30,183","15,163","47,132","51,017","63,829","23,801","38,907","39,460","56,061","21,068","55,248","60,509","76,483","26,698","17,146","18,375","18,535","8,436","17,919","20,524",,,"16,524","17,161",,,"17,722","19,700",,,"12,690","13,229",,,"18,742","19,122",,,"18,604","18,397",,, - , - , - , - ,"34,770","35,237","52,119","17,577", - , - ,,,"27,744","27,256","43,351","13,226","13,214","12,069",,,"13,656","14,223",,,"14,531","14,493",,,"12,951","13,954",,,"11,212","11,171",,,"11,272","12,232",,,"18,652","18,038",,,"14,152","14,481","14,215","6,973"
12,"25,736","26,077","30,181","15,142","46,987","50,780","63,841","23,766","38,838","39,350","56,040","21,043","55,028","60,166","76,547","26,652","17,138","18,363","18,543","8,429","17,883","20,465",,,"16,586","17,233",,,"17,687","19,662",,,"12,712","13,259",,,"18,729","19,102",,,"18,575","18,348",,, - , - , - , - ,"34,674","35,103","52,111","17,546", - , - ,,,"27,678","27,176","43,323","13,201","13,211","12,061",,,"13,676","14,264",,,"14,557","14,555",,,"12,927","13,924",,,"11,197","11,148",,,"11,322","12,306",,,"18,629","17,993",,,"14,155","14,484","14,209","6,983"
'13.1,"25,693","26,015","30,179","15,135","46,853","50,567","63,812","23,750","38,753","39,212","56,017","21,021","54,846","59,893","76,509","26,642","17,137","18,354","18,566","8,426","17,859","20,419",,,"16,649","17,295",,,"17,664","19,635",,,"12,719","13,268",,,"18,709","19,073",,,"18,567","18,332",,, - , - , - , - ,"34,589","34,983","52,091","17,535", - , - ,,,"27,622","27,102","43,316","13,196","13,195","12,040",,,"13,708","14,311",,,"14,568","14,602",,,"12,921","13,916",,,"11,176","11,113",,,"11,372","12,380",,,"18,608","17,964",,,"14,159","14,492","14,200","6,990"
2,"25,644","25,946","30,184","15,116","46,717","50,347","63,821","23,712","38,698","39,120","56,025","20,988","54,631","59,568","76,519","26,599","17,135","18,347","18,580","8,426","17,841","20,390",,,"16,706","17,360",,,"17,625","19,576",,,"12,732","13,284",,,"18,703","19,065",,,"18,564","18,317",,, - , - , - , - ,"34,488","34,840","52,093","17,507", - , - ,,,"27,538","26,996","43,311","13,173","13,190","12,033",,,"13,753","14,374",,,"14,601","14,664",,,"12,895","13,877",,,"11,159","11,089",,,"11,406","12,424",,,"18,609","17,967",,,"14,166","14,504","14,197","7,001"
3,"25,608","25,894","30,194","15,096","46,625","50,209","63,808","23,671","38,593","38,969","55,950","20,952","54,551","59,441","76,606","26,553","17,147","18,349","18,633","8,418","17,834","20,363",,,"16,806","17,485",,,"17,555","19,487",,,"12,761","13,310",,,"18,704","19,061",,,"18,629","18,309",,, - , - , - , - ,"34,404","34,727","52,080","17,475", - , - ,,,"27,458","26,896","43,300","13,160","13,194","12,038",,,"13,769","14,396",,,"14,609","14,711",,,"12,878","13,851",,,"11,141","11,072",,,"11,456","12,492",,,"18,586","17,942",,,"14,166","14,509","14,186","7,007"
4,"25,375","26,213","29,165","15,439","44,259","48,913","62,611","23,237","37,349","38,813","55,676","21,354","51,055","57,388","73,555","25,205","17,637","19,090","18,943","9,132","18,448","21,084",,,"17,261","18,304",,,"17,644","19,838",,,"13,660","14,431",,,"19,029","19,812",,,"19,595","19,500",,,"17,635","18,889","17,634","9,200","32,988","33,991","50,963","17,537","17,710","18,707",,,"27,344","27,495","41,944","13,675","13,559","12,827",,,"14,014","14,291",,,"15,225","15,925",,,"12,912","14,033",,,"11,013","10,978",,,"12,109","13,376",,,"19,105","18,416",,,"14,625","15,118","14,462","7,555"
5,"25,351","26,185","29,153","15,422","44,223","48,889","62,534","23,199","37,267","38,742","55,534","21,291","51,065","57,404","73,580","25,193","17,645","19,099","18,957","9,133","18,446","21,090",,,"17,373","18,437",,,"17,604","19,793",,,"13,625","14,376",,,"19,017","19,801",,,"19,625","19,497",,,"17,658","18,912","17,654","9,224","32,930","33,922","50,918","17,509","17,719","18,725",,,"27,262","27,390","41,936","13,659","13,564","12,831",,,"14,049","14,334",,,"15,231","15,943",,,"12,885","13,993",,,"11,005","10,966",,,"12,160","13,448",,,"19,122","18,437",,,"14,635","15,133","14,460","7,570"
6,"25,334","26,152","29,163","15,429","44,175","48,811","62,509","23,202","37,202","38,645","55,473","21,285","51,033","57,341","73,611","25,205","17,667","19,111","19,006","9,160","18,452","21,063",,,"17,473","18,560",,,"17,567","19,758",,,"13,640","14,395",,,"19,018","19,801",,,"19,720","19,495",,,"17,696","18,937","17,715","9,308","32,875","33,843","50,896","17,499","17,749","18,784",,,"27,194","27,300","41,923","13,649","13,565","12,825",,,"14,065","14,358",,,"15,242","15,976",,,"12,880","13,976",,,"10,980","10,931",,,"12,229","13,552",,,"19,141","18,444",,,"14,650","15,151","14,466","7,579"
7,"25,320","26,112","29,230","15,423","44,084","48,627","62,598","23,203","37,102","38,489","55,436","21,247","50,951","57,133","73,898","25,248","17,688","19,125","19,075","9,152","18,454","21,053",,,"17,580","18,688",,,"17,564","19,773",,,"13,659","14,417",,,"18,952","19,674",,,"19,800","19,508",,,"17,724","18,950","17,798","9,317","32,822","33,749","50,971","17,484","17,808","18,903",,,"27,162","27,241","42,009","13,618","13,573","12,838",,,"14,113","14,405",,,"15,267","16,014",,,"12,910","13,959",,,"10,981","10,952",,,"12,367","13,734",,,"19,153","18,430",,,"14,687","15,183","14,509","7,628"
8,"25,307","26,056","29,367","15,425","44,057","48,461","63,032","23,197","37,043","38,295","55,696","21,217","50,956","56,991","74,607","25,266","17,721","19,128","19,232","9,164","18,435","21,009",,,"17,643","18,746",,,"17,525","19,723",,,"13,733","14,513",,,"18,970","19,674",,,"20,122","19,514",,,"17,779","18,967","17,980","9,351","32,766","33,624","51,178","17,480","17,818","18,924",,,"27,075","27,124","41,999","13,622","13,590","12,848",,,"14,130","14,435",,,"15,276","16,037",,,"12,908","13,955",,,"10,987","10,956",,,"12,419","13,816",,,"19,189","18,501",,,"14,707","15,219","14,528","7,633"
9,"25,313","26,038","29,452","15,431","44,079","48,389","63,423","23,199","36,987","38,178","55,744","21,204","51,054","56,957","75,538","25,284","17,753","19,160","19,279","9,177","18,447","21,012",,,"17,777","18,898",,,"17,503","19,703",,,"13,744","14,525",,,"19,000","19,708",,,"20,173","19,516",,,"17,828","19,013","18,036","9,400","32,757","33,562","51,413","17,476","17,848","18,984",,,"27,042","27,059","42,105","13,622","13,582","12,831",,,"14,143","14,456",,,"15,172","16,069",,,"12,914","13,962",,,"10,984","10,951",,,"12,501","13,934",,,"19,164","18,480",,,"14,700","15,235","14,472","7,647"
10,"25,377","26,096","29,558","15,456","44,174","48,435","63,814","23,221","37,027","38,235","55,823","21,185","51,202","56,994","76,424","25,348","17,814","19,236","19,327","9,177","18,502","21,069",,,"17,973","19,153",,,"17,503","19,721",,,"13,770","14,557",,,"19,014","19,728",,,"20,219","19,542",,,"17,905","19,105","18,099","9,413","32,819","33,605","51,604","17,501","17,946","19,034",,,"27,091","27,107","42,113","13,672","13,600","12,847",,,"14,197","14,520",,,"15,241","16,149",,,"12,958","13,979",,,"10,990","10,959",,,"12,654","14,154",,,"19,192","18,495",,,"14,755","15,290","14,518","7,689"
11,"25,394","26,136","29,510","15,452","44,086","48,394","63,443","23,200","36,848","38,174","55,132","21,148","51,203","56,970","76,557","25,345","17,857","19,290","19,361","9,186","18,490","21,038",,,"18,188","19,413",,,"17,492","19,725",,,"13,763","14,540",,,"19,045","19,768",,,"20,300","19,644",,,"17,965","19,173","18,147","9,443","32,803","33,622","51,421","17,489","17,979","19,102",,,"27,139","27,165","42,135","13,673","13,625","12,878",,,"14,229","14,571",,,"15,297","16,227",,,"12,984","13,995",,,"10,995","10,947",,,"12,830","14,410",,,"19,238","18,541",,,"14,807","15,356","14,541","7,706"
12,"25,420","26,160","29,567","15,458","44,074","48,375","63,460","23,188","36,819","38,110","55,167","21,138","51,210","56,989","76,547","25,331","17,928","19,373","19,421","9,211","18,533","21,056",,,"18,408","19,670",,,"17,481","19,735",,,"13,864","14,672",,,"19,061","19,783",,,"20,377","19,724",,,"18,060","19,276","18,234","9,501","32,780","33,598","51,409","17,480","18,652","19,120",,,"27,102","27,129","42,119","13,673","13,629","12,894",,,"14,316","14,687",,,"15,407","16,331",,,"12,929","13,912",,,"11,052","10,931",,,"12,997","14,638",,,"19,308","18,587",,,"14,881","15,412","14,649","7,751"
'14.1,"25,471","26,213","29,648","15,458","44,085","48,396","63,493","23,163","36,810","38,097","55,186","21,117","51,239","57,038","76,601","25,301","17,959","19,405","19,466","9,227","18,556","21,067",,,"18,501","19,766",,,"17,482","19,743",,,"13,900","14,719",,,"19,077","19,801",,,"20,397","19,722",,,"18,101","19,313","18,288","9,532","32,832","33,662","51,500","17,471","18,899","19,266",,,"27,206","27,233","42,307","13,682","13,643","12,912",,,"14,386","14,777",,,"15,458","16,397",,,"12,935","13,918",,,"11,037","10,918",,,"13,225","14,770",,,"19,345","18,617",,,"14,941","15,458","14,743","7,778"
2,"25,508","26,242","29,720","15,471","44,138","48,463","63,559","23,178","36,845","38,157","55,194","21,125","51,310","57,111","76,759","25,324","18,014","19,468","19,514","9,245","18,576","21,084",,,"18,637","19,929",,,"17,523","19,829",,,"13,946","14,778",,,"19,092","19,810",,,"20,482","19,725",,,"18,159","19,371","18,357","9,570","32,859","33,678","51,608","17,478","18,915","19,297",,,"27,206","27,202","42,518","13,685","13,650","12,907",,,"14,457","14,853",,,"15,519","16,479",,,"12,924","13,901",,,"11,033","10,896",,,"13,291","14,872",,,"19,409","18,602",,,"14,980","15,483","14,778","7,794"
3,"25,591","26,335","29,796","15,498","44,251","48,582","63,747","23,234","36,930","38,250","55,309","21,171","51,450","57,251","77,061","25,389","18,094","19,570","19,566","9,262","18,622","21,142",,,"18,853","20,194",,,"17,573","19,910",,,"13,992","14,830",,,"19,105","19,826",,,"20,592","19,842",,,"18,248","19,478","18,419","9,597","32,948","33,778","51,704","17,510","18,908","19,284",,,"27,286","27,293","42,531","13,694","13,644","12,920",,,"14,557","14,992",,,"15,571","16,536",,,"12,933","13,908",,,"11,037","10,890",,,"13,422","15,074",,,"19,494","18,654",,,"15,041","15,547","14,842","7,788"
4,"25,659","26,406","29,881","15,514","44,291","48,630","63,815","23,239","36,931","38,257","55,299","21,171","51,529","57,335","77,253","25,401","18,200","19,687","19,685","9,302","18,669","21,160",,,"19,109","20,477",,,"17,630","19,990",,,"14,122","14,996",,,"19,132","19,843",,,"20,772","20,041",,,"18,369","19,605","18,552","9,651","32,987","33,826","51,735","17,515","18,919","19,306",,,"27,319","27,334","42,522","13,692","13,659","12,938",,,"14,636","15,094",,,"15,785","16,610",,,"12,938","13,896",,,"11,021","10,861",,,"13,519","15,219",,,"19,578","18,738",,,"15,118","15,610","14,947","7,816"
5,"25,682","26,434","29,915","15,522","44,266","48,566","63,872","23,248","36,877","38,184","55,331","21,088","51,532","57,278","77,350","25,505","18,254","19,749","19,742","9,316","18,701","21,202",,,"19,285","20,661",,,"17,635","19,999",,,"14,164","15,049",,,"19,137","19,844",,,"20,846","20,122",,,"18,437","19,682","18,616","9,678","32,991","33,826","51,773","17,521","18,919","19,306",,,"27,349","27,373","42,547","13,696","13,632","12,940",,,"14,704","15,173",,,"15,814","16,654",,,"12,929","13,883",,,"11,015","10,847",,,"13,548","15,264",,,"19,605","18,831",,,"15,137","15,654","14,951","7,824"
6,"25,718","26,461","30,006","15,530","44,239","48,539","63,842","23,223","36,842","38,157","55,272","21,058","51,512","57,250","77,366","25,486","18,348","19,838","19,884","9,366","18,807","21,238",,,"19,467","20,861",,,"17,648","20,011",,,"14,369","15,315",,,"19,124","19,827",,,"20,910","20,176",,,"18,554","19,791","18,768","9,772","32,979","33,810","51,803","17,507","18,908","19,283",,,"27,343","27,359","42,640","13,693","13,645","12,951",,,"14,783","15,279",,,"15,875","16,733",,,"12,913","13,859",,,"11,012","10,836",,,"13,636","15,326",,,"19,754","18,861",,,"15,201","15,691","15,061","7,866"
7,"25,744","26,484","30,067","15,532","44,255","48,556","63,914","23,206","36,828","38,153","55,270","21,014","51,559","57,284","77,554","25,496","18,391","19,863","20,017","9,380","18,859","21,253",,,"19,604","20,979",,,"17,662","20,040",,,"14,314","15,236",,,"19,117","19,818",,,"21,013","20,229",,,"18,607","19,815","18,918","9,807","32,988","33,818","51,838","17,499","18,889","19,245",,,"27,343","27,355","42,639","13,701","13,657","12,962",,,"15,030","15,560",,,"15,909","16,780",,,"12,910","13,855",,,"11,005","10,824",,,"13,673","15,384",,,"19,784","18,914",,,"15,245","15,750","15,076","7,894"
8,"25,778","26,519","30,110","15,537","44,281","48,600","63,945","23,188","36,827","38,151","55,256","21,025","51,611","57,368","77,657","25,449","18,434","19,899","20,095","9,407","18,865","21,250",,,"19,731","21,065",,,"17,678","20,067",,,"14,423","15,351",,,"19,083","19,770",,,"21,076","20,291",,,"18,658","19,854","19,004","9,862","33,012","33,852","51,863","17,493","18,856","19,185",,,"27,369","27,384","42,659","13,709","13,661","12,961",,,"15,108","15,659",,,"15,937","16,829",,,"12,908","13,851",,,"10,998","10,807",,,"13,750","15,462",,,"19,839","18,958",,,"15,281","15,787","15,104","7,917"
9,"25,896","26,672","30,179","15,550","44,461","48,892","64,049","23,176","36,913","38,269","55,366","21,032","51,885","57,806","77,751","25,415","18,561","20,057","20,180","9,441","18,940","21,360",,,"20,016","21,386",,,"17,741","20,148",,,"14,660","15,653",,,"19,089","19,776",,,"21,198","20,407",,,"18,803","20,033","19,086","9,920","33,141","34,027","51,945","17,493","18,856","19,184",,,"27,469","27,505","42,708","13,725","13,699","12,974",,,"15,196","15,768",,,"16,005","16,937",,,"12,914","13,844",,,"11,001","10,813",,,"13,815","15,548",,,"19,934","19,049",,,"15,339","15,851","15,149","7,962"
10,"26,014","26,809","30,278","15,591","44,604","49,091","64,173","23,208","37,001","38,407","55,397","21,067","52,081","58,057","78,022","25,444","18,703","20,209","20,367","9,480","19,102","21,476",,,"20,367","21,805",,,"17,797","20,235",,,"14,731","15,743",,,"19,150","19,835",,,"21,251","20,449",,,"18,971","20,202","19,296","9,990","33,259","34,179","52,016","17,528","18,866","19,205",,,"27,584","27,640","42,730","13,779","13,702","12,988",,,"15,342","15,953",,,"16,056","17,012",,,"12,926","13,846",,,"10,998","10,804",,,"13,872","15,620",,,"20,038","19,149",,,"15,396","15,920","15,186","8,006"
11,"26,079","26,889","30,324","15,613","44,647","49,153","64,185","23,230","37,026","38,426","55,419","21,106","52,142","58,154","78,016","25,450","18,793","20,309","20,463","9,513","19,165","21,538",,,"20,625","22,074",,,"17,820","20,268",,,"14,828","15,862",,,"19,175","19,867",,,"21,314","20,517",,,"19,081","20,321","19,399","10,050","33,309","34,249","52,026","17,542","18,878","19,228",,,"27,648","27,724","42,732","13,789","13,619","12,881",,,"15,429","16,065",,,"16,085","17,061",,,"12,948","13,848",,,"10,992","10,804",,,"13,960","15,747",,,"20,150","19,265",,,"15,449","15,978","15,223","8,027"
12,"26,126","26,949","30,334","15,638","44,670","49,177","64,180","23,268","37,040","38,454","55,376","21,130","52,175","58,174","78,073","25,502","18,863","20,404","20,482","9,538","19,199","21,615",,,"20,824","22,307",,,"17,837","20,282",,,"14,935","15,995",,,"19,180","19,872",,,"21,395","20,620",,,"19,167","20,436","19,412","10,094","33,338","34,284","52,028","17,563","18,883","19,238",,,"27,686","27,772","42,724","13,797","13,628","12,887",,,"15,474","16,156",,,"16,122","17,103",,,"12,941","13,840",,,"10,974","10,781",,,"14,085","15,927",,,"20,214","19,338",,,"15,496","16,037","15,241","8,060"
'15.1,"26,186","27,028","30,349","15,648","44,724","49,283","64,141","23,268","37,074","38,553","55,301","21,121","52,248","58,286","78,088","25,511","18,973","20,545","20,547","9,558","19,281","21,738",,,"21,098","22,621",,,"17,867","20,326",,,"15,152","16,261",,,"19,179","19,872",,,"21,441","20,671",,,"19,300","20,604","19,485","10,123","33,382","34,347","52,013","17,568","18,882","19,237",,,"27,725","27,810","42,735","13,807","13,640","12,894",,,"15,508","16,200",,,"16,138","17,125",,,"12,957","13,847",,,"10,973","10,778",,,"14,045","15,860",,,"20,235","19,397",,,"15,512","16,057","15,242","8,078"
2,"26,282","27,143","30,419","15,678","44,861","49,460","64,309","23,296","37,173","38,639","55,502","21,171","52,421","58,541","78,205","25,516","19,083","20,681","20,613","9,606","19,326","21,784",,,"21,382","22,954",,,"17,952","20,446",,,"15,294","16,438",,,"19,181","19,874",,,"21,548","20,798",,,"19,417","20,744","19,555","10,190","33,486","34,474","52,116","17,591","18,882","19,236",,,"27,804","27,906","42,777","13,821","13,651","12,908",,,"15,560","16,253",,,"16,154","17,144",,,"12,968","13,859",,,"10,974","10,779",,,"14,167","16,023",,,"20,305","19,458",,,"15,561","16,109","15,275","8,098"
3,"26,417","27,320","30,471","15,730","45,026","49,700","64,402","23,344","37,319","38,845","55,617","21,222","52,606","58,808","78,263","25,563","19,253","20,910","20,667","9,660","19,412","21,901",,,"21,906","23,592",,,"18,046","20,584",,,"15,549","16,722",,,"19,191","19,871",,,"21,491","20,901",,,"19,610","20,998","19,614","10,267","33,625","34,660","52,190","17,636","18,953","19,326",,,"27,935","28,069","42,842","13,871","13,674","12,933",,,"15,589","16,296",,,"16,172","17,160",,,"13,002","13,866",,,"10,966","10,767",,,"14,217","16,269",,,"20,437","19,558",,,"15,618","16,179","15,296","8,172"
4,"26,582","27,512","30,611","15,803","45,258","49,999","64,663","23,416","37,475","39,024","55,871","21,264","52,913","59,208","78,537","25,664","19,418","21,096","20,837","9,720","19,510","22,034",,,"22,307","23,938",,,"18,165","20,770",,,"15,744","16,944",,,"19,202","19,885",,,"21,642","21,076",,,"19,789","21,184","19,804","10,370","33,819","34,899","52,379","17,696","19,123","19,672",,,"28,116","28,281","42,984","13,939","13,710","12,999",,,"15,598","16,300",,,"16,195","17,172",,,"13,023","13,893",,,"10,991","10,784",,,"14,384","16,511",,,"20,512","19,654",,,"15,690","16,258","15,341","8,305"
5,"26,719","27,671","30,722","15,867","45,439","50,198","64,868","23,543","37,583","39,155","55,963","21,339","53,165","59,463","78,920","25,847","19,583","21,312","20,927","9,747","19,654","22,233",,,"22,641","24,364",,,"18,270","20,926",,,"15,989","17,241",,,"19,208","19,891",,,"21,770","21,194",,,"19,972","21,416","19,898","10,412","33,964","35,070","52,515","17,766","19,122","19,671",,,"28,241","28,437","43,054","13,960","13,902","13,042",,,"15,621","16,319",,,"16,202","17,190",,,"13,088","13,932",,,"11,101","10,789",,,"14,401","16,530",,,"20,569","19,729",,,"15,752","16,303","15,438","8,352"
6,"26,871","27,856","30,822","15,925","45,666","50,513","64,994","23,642","37,676","39,252","56,025","21,447","53,524","59,962","79,146","25,934","19,767","21,535","21,079","9,788","19,882","22,525",,,"22,979","24,727",,,"18,362","21,072",,,"16,194","17,476",,,"19,211","19,896",,,"21,935","21,389",,,"20,182","21,660","20,071","10,481","34,124","35,274","52,591","17,827","19,164","19,754",,,"28,360","28,581","43,090","13,992","14,101","13,275",,,"15,686","16,409",,,"16,180","17,156",,,"13,138","13,921",,,"11,105","10,733",,,"14,440","16,587",,,"20,663","19,877",,,"15,810","16,377","15,503","8,376"
7,"27,043","28,053","30,988","15,985","45,931","50,835","65,293","23,762","37,895","39,458","56,387","21,591","53,833","60,382","79,346","26,031","19,933","21,735","21,220","9,833","19,960","22,676",,,"23,333","25,159",,,"18,495","21,271",,,"16,352","17,624",,,"19,237","19,902",,,"22,273","21,572",,,"20,359","21,860","20,225","10,544","34,333","35,517","52,854","17,890","19,121","19,669",,,"28,541","28,783","43,362","13,995","14,202","13,287",,,"15,743","16,488",,,"16,200","17,180",,,"13,166","13,936",,,"11,099","10,732",,,"14,596","16,828",,,"20,740","19,968",,,"15,881","16,454","15,571","8,395"
8,"27,199","28,250","31,070","16,032","46,224","51,213","65,645","23,838","38,044","39,641","56,575","21,647","54,268","60,924","79,958","26,128","20,107","21,972","21,272","9,871","20,189","22,978",,,"23,687","25,580",,,"18,615","21,457",,,"16,514","17,823",,,"19,271","19,924",,,"22,205","21,703",,,"20,548","22,111","20,279","10,611","34,521","35,750","53,025","17,932","19,121","19,669",,,"28,654","28,931","43,346","14,009","14,172","13,348",,,"15,765","16,511",,,"16,180","17,165",,,"13,171","13,938",,,"11,103","10,725",,,"14,658","16,915",,,"20,823","20,058",,,"15,914","16,499","15,576","8,445"
9,"27,370","28,463","31,184","16,071","46,507","51,618","65,878","23,891","38,272","39,946","56,884","21,668","54,606","61,412","80,069","26,214","20,284","22,188","21,409","9,917","20,382","23,201",,,"23,907","25,828",,,"18,764","21,687",,,"16,671","17,986",,,"19,313","19,977",,,"22,533","22,126",,,"20,733","22,323","20,430","10,687","34,726","36,027","53,136","17,965","19,122","19,670",,,"28,804","29,135","43,326","14,026","14,478","13,436",,,"15,779","16,529",,,"16,179","17,168",,,"13,180","13,945",,,"11,118","10,737",,,"14,759","17,063",,,"20,895","20,125",,,"15,980","16,555","15,664","8,471"
