규모,전국 Total,,,,서울 Seoul,,,,강북(14개구) Northern seoul,,,,강남(11개구) Southern Seoul,,,,6개광역시 6 Large Cities,,,,부산   Pusan,,,,대구  Daegu,,,,인천  Incheon,,,,광주  Gwangju,,,,대전  Daejeon,,,,울산  Ulsan,,,,5개광역시 5 Large Cities,,,,수도권 Seoul Metropolitan Area,,,,세종  Sejong,,,,경기  Gyeonggi,,,,강원  Gangwon,,,,충북  Chungbuk,,,,충남  Chungnam,,,,전북  Jeonbuk,,,,전남  Jeonnam,,,,경북  Gyungbuk,,,,경남  Gyungnam,,,,기타지방 Non Metropolitan Area,,,
,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,,,종합,아파트,단독,연립,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,단독,연립
10,"24,542","25,336","27,504","14,844","47,344","53,957","58,599","23,719","38,293","40,998","50,630","21,080","56,498","64,775","71,580","26,516","14,262","14,716","16,906","7,839", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"35,535","37,708","48,148","17,664", - , - ,,,"28,752","29,314","40,122","13,292", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"10,815","10,294","12,345","5,400"
11,"24,583","25,371","27,563","14,884","47,392","53,942","58,786","23,796","38,385","41,014","50,873","21,175","56,502","64,733","71,675","26,575","14,322","14,802","16,923","7,856", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"35,559","37,700","48,249","17,713", - , - ,,,"28,751","29,301","40,138","13,318", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"10,866","10,357","12,384","5,409"
12,"24,590","25,378","27,564","14,898","47,393","53,930","58,804","23,810","38,405","41,022","50,914","21,195","56,484","64,705","71,655","26,582","14,357","14,853","16,933","7,865", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"35,535","37,665","48,220","17,724", - , - ,,,"28,702","29,246","40,055","13,333", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"10,896","10,390","12,409","5,434"
'10.1,"24,613","25,398","27,604","14,906","47,462","53,994","58,955","23,828","38,453","41,024","51,071","21,228","56,575","64,820","71,796","26,584","14,388","14,892","16,956","7,870", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"35,554","37,669","48,300","17,732", - , - ,,,"28,676","29,209","40,060","13,327", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"10,913","10,412","12,414","5,452"
2,"24,668","25,465","27,635","14,932","47,589","54,163","59,050","23,885","38,495","41,056","51,138","21,267","56,787","65,104","71,936","26,660","14,438","14,964","16,976","7,876", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"35,610","37,729","48,362","17,764", - , - ,,,"28,681","29,205","40,088","13,339", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"10,950","10,468","12,417","5,454"
3,"24,692","25,485","27,665","14,959","47,606","54,143","59,130","23,932","38,522","41,051","51,209","21,315","56,793","65,072","72,032","26,705","14,480","15,027","16,978","7,890", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"35,612","37,703","48,424","17,792", - , - ,,,"28,667","29,169","40,130","13,357", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"10,996","10,528","12,439","5,466"
4,"24,690","25,470","27,692","14,968","47,576","54,068","59,175","23,944","38,508","41,020","51,209","21,319","56,749","64,961","72,149","26,725","14,523","15,083","17,003","7,907", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"35,564","37,611","48,469","17,795", - , - ,,,"28,598","29,055","40,194","13,353", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"11,030","10,581","12,438","5,486"
5,"24,648","25,399","27,710","14,953","47,453","53,841","59,226","23,909","38,437","40,902","51,203","21,277","56,573","64,643","72,294","26,699","14,558","15,127","17,029","7,917", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"35,444","37,419","48,492","17,767", - , - ,,,"28,459","28,862","40,188","13,327", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"11,061","10,628","12,438","5,500"
6,"24,577","25,278","27,739","14,938","47,275","53,539","59,211","23,872","38,323","40,699","51,212","21,220","56,328","64,257","72,240","26,683","14,572","15,145","17,032","7,936", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"35,270","37,129","48,546","17,736", - , - ,,,"28,263","28,549","40,328","13,288", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"11,117","10,698","12,466","5,539"
7,"24,501","25,169","27,735","14,892","47,112","53,274","59,197","23,814","38,225","40,527","51,213","21,170","56,101","63,916","72,203","26,617","14,576","15,149","17,040","7,933", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"35,093","36,872","48,515","17,672", - , - ,,,"28,043","28,269","40,266","13,197", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"11,168","10,767","12,483","5,537"
